  n  E[WN]   sigma_WN     W50     W90      W95     W99 
2421   6.97    0.47       6.93    7.59     7.81    8.26
2422   6.97    0.47       6.93    7.59     7.81    8.26
2423   6.97    0.47       6.93    7.59     7.81    8.26
2424   6.97    0.47       6.93    7.59     7.81    8.27
2425   6.98    0.47       6.93    7.59     7.81    8.27
2426   6.98    0.47       6.93    7.59     7.81    8.27
2427   6.98    0.47       6.93    7.59     7.81    8.27
2428   6.98    0.47       6.93    7.59     7.81    8.27
2429   6.98    0.47       6.93    7.59     7.81    8.27
2430   6.98    0.47       6.93    7.59     7.81    8.27
2431   6.98    0.47       6.93    7.59     7.81    8.27
2432   6.98    0.47       6.93    7.59     7.81    8.27
2433   6.98    0.47       6.93    7.59     7.81    8.27
2434   6.98    0.47       6.93    7.59     7.81    8.27
2435   6.98    0.47       6.93    7.60     7.81    8.27
2436   6.98    0.47       6.93    7.60     7.82    8.27
2437   6.98    0.47       6.93    7.60     7.82    8.27
2438   6.98    0.47       6.93    7.60     7.82    8.27
2439   6.98    0.47       6.93    7.60     7.82    8.27
2440   6.98    0.47       6.93    7.60     7.82    8.27
2441   6.98    0.47       6.93    7.60     7.82    8.27
2442   6.98    0.47       6.93    7.60     7.82    8.27
2443   6.98    0.47       6.93    7.60     7.82    8.27
2444   6.98    0.47       6.94    7.60     7.82    8.27
2445   6.98    0.47       6.94    7.60     7.82    8.27
2446   6.98    0.47       6.94    7.60     7.82    8.27
2447   6.98    0.47       6.94    7.60     7.82    8.27
2448   6.98    0.47       6.94    7.60     7.82    8.27
2449   6.98    0.47       6.94    7.60     7.82    8.27
2450   6.98    0.47       6.94    7.60     7.82    8.27
2451   6.98    0.47       6.94    7.60     7.82    8.27
2452   6.98    0.47       6.94    7.60     7.82    8.27
2453   6.98    0.47       6.94    7.60     7.82    8.27
2454   6.98    0.47       6.94    7.60     7.82    8.27
2455   6.98    0.47       6.94    7.60     7.82    8.27
2456   6.98    0.47       6.94    7.60     7.82    8.27
2457   6.98    0.47       6.94    7.60     7.82    8.27
2458   6.98    0.47       6.94    7.60     7.82    8.27
2459   6.98    0.47       6.94    7.60     7.82    8.27
2460   6.98    0.47       6.94    7.60     7.82    8.27
2461   6.98    0.47       6.94    7.60     7.82    8.27
2462   6.98    0.47       6.94    7.60     7.82    8.27
2463   6.98    0.47       6.94    7.60     7.82    8.27
2464   6.98    0.47       6.94    7.60     7.82    8.27
2465   6.98    0.47       6.94    7.60     7.82    8.27
2466   6.98    0.47       6.94    7.60     7.82    8.27
2467   6.98    0.47       6.94    7.60     7.82    8.27
2468   6.98    0.47       6.94    7.60     7.82    8.27
2469   6.98    0.47       6.94    7.60     7.82    8.27
2470   6.98    0.47       6.94    7.60     7.82    8.27
2471   6.99    0.47       6.94    7.60     7.82    8.27
2472   6.99    0.47       6.94    7.60     7.82    8.27
2473   6.99    0.47       6.94    7.60     7.82    8.27
2474   6.99    0.47       6.94    7.60     7.82    8.27
2475   6.99    0.47       6.94    7.60     7.82    8.27
2476   6.99    0.47       6.94    7.60     7.82    8.28
2477   6.99    0.47       6.94    7.60     7.82    8.28
2478   6.99    0.47       6.94    7.60     7.82    8.28
2479   6.99    0.47       6.94    7.60     7.82    8.28
2480   6.99    0.47       6.94    7.60     7.82    8.28
2481   6.99    0.47       6.94    7.60     7.82    8.28
2482   6.99    0.47       6.94    7.60     7.82    8.28
2483   6.99    0.47       6.94    7.60     7.82    8.28
2484   6.99    0.47       6.94    7.60     7.82    8.28
2485   6.99    0.47       6.94    7.61     7.82    8.28
2486   6.99    0.47       6.94    7.61     7.83    8.28
2487   6.99    0.47       6.94    7.61     7.83    8.28
2488   6.99    0.47       6.94    7.61     7.83    8.28
2489   6.99    0.47       6.94    7.61     7.83    8.28
2490   6.99    0.47       6.95    7.61     7.83    8.28
2491   6.99    0.47       6.95    7.61     7.83    8.28
2492   6.99    0.47       6.95    7.61     7.83    8.28
2493   6.99    0.47       6.95    7.61     7.83    8.28
2494   6.99    0.47       6.95    7.61     7.83    8.28
2495   6.99    0.47       6.95    7.61     7.83    8.28
2496   6.99    0.47       6.95    7.61     7.83    8.28
2497   6.99    0.47       6.95    7.61     7.83    8.28
2498   6.99    0.47       6.95    7.61     7.83    8.28
2499   6.99    0.47       6.95    7.61     7.83    8.28
2500   6.99    0.47       6.95    7.61     7.83    8.28
2501   6.99    0.47       6.95    7.61     7.83    8.28
2502   6.99    0.47       6.95    7.61     7.83    8.28
2503   6.99    0.47       6.95    7.61     7.83    8.28
2504   6.99    0.47       6.95    7.61     7.83    8.28
2505   6.99    0.47       6.95    7.61     7.83    8.28
2506   6.99    0.47       6.95    7.61     7.83    8.28
2507   6.99    0.47       6.95    7.61     7.83    8.28
2508   6.99    0.47       6.95    7.61     7.83    8.28
2509   6.99    0.47       6.95    7.61     7.83    8.28
2510   6.99    0.47       6.95    7.61     7.83    8.28
2511   6.99    0.47       6.95    7.61     7.83    8.28
2512   6.99    0.47       6.95    7.61     7.83    8.28
2513   6.99    0.47       6.95    7.61     7.83    8.28
2514   6.99    0.47       6.95    7.61     7.83    8.28
2515   6.99    0.47       6.95    7.61     7.83    8.28
2516   6.99    0.47       6.95    7.61     7.83    8.28
2517   7.00    0.47       6.95    7.61     7.83    8.28
2518   7.00    0.47       6.95    7.61     7.83    8.28
2519   7.00    0.47       6.95    7.61     7.83    8.28
2520   7.00    0.47       6.95    7.61     7.83    8.28
2521   7.00    0.47       6.95    7.61     7.83    8.28
2522   7.00    0.47       6.95    7.61     7.83    8.28
2523   7.00    0.47       6.95    7.61     7.83    8.28
2524   7.00    0.47       6.95    7.61     7.83    8.28
2525   7.00    0.47       6.95    7.61     7.83    8.28
2526   7.00    0.47       6.95    7.61     7.83    8.28
2527   7.00    0.47       6.95    7.61     7.83    8.28
2528   7.00    0.47       6.95    7.61     7.83    8.28
2529   7.00    0.47       6.95    7.61     7.83    8.28
2530   7.00    0.47       6.95    7.61     7.83    8.29
2531   7.00    0.47       6.95    7.61     7.83    8.29
2532   7.00    0.47       6.95    7.61     7.83    8.29
2533   7.00    0.47       6.95    7.62     7.83    8.29
2534   7.00    0.47       6.95    7.62     7.83    8.29
2535   7.00    0.47       6.95    7.62     7.83    8.29
2536   7.00    0.47       6.95    7.62     7.83    8.29
2537   7.00    0.47       6.96    7.62     7.83    8.29
2538   7.00    0.47       6.96    7.62     7.84    8.29
2539   7.00    0.47       6.96    7.62     7.84    8.29
2540   7.00    0.47       6.96    7.62     7.84    8.29
2541   7.00    0.47       6.96    7.62     7.84    8.29
2542   7.00    0.47       6.96    7.62     7.84    8.29
2543   7.00    0.47       6.96    7.62     7.84    8.29
2544   7.00    0.47       6.96    7.62     7.84    8.29
2545   7.00    0.47       6.96    7.62     7.84    8.29
2546   7.00    0.47       6.96    7.62     7.84    8.29
2547   7.00    0.47       6.96    7.62     7.84    8.29
2548   7.00    0.47       6.96    7.62     7.84    8.29
2549   7.00    0.47       6.96    7.62     7.84    8.29
2550   7.00    0.47       6.96    7.62     7.84    8.29
2551   7.00    0.47       6.96    7.62     7.84    8.29
2552   7.00    0.47       6.96    7.62     7.84    8.29
2553   7.00    0.47       6.96    7.62     7.84    8.29
2554   7.00    0.47       6.96    7.62     7.84    8.29
2555   7.00    0.47       6.96    7.62     7.84    8.29
2556   7.00    0.47       6.96    7.62     7.84    8.29
2557   7.00    0.47       6.96    7.62     7.84    8.29
2558   7.00    0.47       6.96    7.62     7.84    8.29
2559   7.00    0.47       6.96    7.62     7.84    8.29
2560   7.00    0.47       6.96    7.62     7.84    8.29
2561   7.00    0.47       6.96    7.62     7.84    8.29
2562   7.00    0.47       6.96    7.62     7.84    8.29
2563   7.00    0.47       6.96    7.62     7.84    8.29
2564   7.00    0.47       6.96    7.62     7.84    8.29
2565   7.01    0.47       6.96    7.62     7.84    8.29
2566   7.01    0.47       6.96    7.62     7.84    8.29
2567   7.01    0.47       6.96    7.62     7.84    8.29
2568   7.01    0.47       6.96    7.62     7.84    8.29
2569   7.01    0.47       6.96    7.62     7.84    8.29
2570   7.01    0.47       6.96    7.62     7.84    8.29
2571   7.01    0.47       6.96    7.62     7.84    8.29
2572   7.01    0.47       6.96    7.62     7.84    8.29
2573   7.01    0.47       6.96    7.62     7.84    8.29
2574   7.01    0.47       6.96    7.62     7.84    8.29
2575   7.01    0.47       6.96    7.62     7.84    8.29
2576   7.01    0.47       6.96    7.62     7.84    8.29
2577   7.01    0.47       6.96    7.62     7.84    8.29
2578   7.01    0.47       6.96    7.62     7.84    8.29
2579   7.01    0.47       6.96    7.62     7.84    8.29
2580   7.01    0.47       6.96    7.62     7.84    8.29
2581   7.01    0.47       6.96    7.62     7.84    8.29
2582   7.01    0.47       6.96    7.62     7.84    8.29
2583   7.01    0.47       6.96    7.62     7.84    8.29
2584   7.01    0.47       6.97    7.63     7.84    8.29
2585   7.01    0.47       6.97    7.63     7.84    8.29
2586   7.01    0.47       6.97    7.63     7.84    8.29
2587   7.01    0.47       6.97    7.63     7.84    8.29
2588   7.01    0.47       6.97    7.63     7.84    8.29
2589   7.01    0.47       6.97    7.63     7.84    8.30
2590   7.01    0.47       6.97    7.63     7.84    8.30
2591   7.01    0.47       6.97    7.63     7.84    8.30
2592   7.01    0.47       6.97    7.63     7.84    8.30
2593   7.01    0.47       6.97    7.63     7.85    8.30
2594   7.01    0.47       6.97    7.63     7.85    8.30
2595   7.01    0.47       6.97    7.63     7.85    8.30
2596   7.01    0.47       6.97    7.63     7.85    8.30
2597   7.01    0.47       6.97    7.63     7.85    8.30
2598   7.01    0.47       6.97    7.63     7.85    8.30
2599   7.01    0.47       6.97    7.63     7.85    8.30
2600   7.01    0.47       6.97    7.63     7.85    8.30
2601   7.01    0.47       6.97    7.63     7.85    8.30
2602   7.01    0.47       6.97    7.63     7.85    8.30
2603   7.01    0.47       6.97    7.63     7.85    8.30
2604   7.01    0.47       6.97    7.63     7.85    8.30
2605   7.01    0.47       6.97    7.63     7.85    8.30
2606   7.01    0.47       6.97    7.63     7.85    8.30
2607   7.01    0.47       6.97    7.63     7.85    8.30
2608   7.01    0.47       6.97    7.63     7.85    8.30
2609   7.01    0.47       6.97    7.63     7.85    8.30
2610   7.01    0.47       6.97    7.63     7.85    8.30
2611   7.01    0.47       6.97    7.63     7.85    8.30
2612   7.01    0.47       6.97    7.63     7.85    8.30
2613   7.02    0.47       6.97    7.63     7.85    8.30
2614   7.02    0.47       6.97    7.63     7.85    8.30
2615   7.02    0.46       6.97    7.63     7.85    8.30
2616   7.02    0.46       6.97    7.63     7.85    8.30
2617   7.02    0.46       6.97    7.63     7.85    8.30
2618   7.02    0.46       6.97    7.63     7.85    8.30
2619   7.02    0.46       6.97    7.63     7.85    8.30
2620   7.02    0.46       6.97    7.63     7.85    8.30
2621   7.02    0.46       6.97    7.63     7.85    8.30
2622   7.02    0.46       6.97    7.63     7.85    8.30
2623   7.02    0.46       6.97    7.63     7.85    8.30
2624   7.02    0.46       6.97    7.63     7.85    8.30
2625   7.02    0.46       6.97    7.63     7.85    8.30
2626   7.02    0.46       6.97    7.63     7.85    8.30
2627   7.02    0.46       6.97    7.63     7.85    8.30
2628   7.02    0.46       6.97    7.63     7.85    8.30
2629   7.02    0.46       6.97    7.63     7.85    8.30
2630   7.02    0.46       6.97    7.63     7.85    8.30
2631   7.02    0.46       6.97    7.63     7.85    8.30
2632   7.02    0.46       6.97    7.63     7.85    8.30
2633   7.02    0.46       6.98    7.63     7.85    8.30
2634   7.02    0.46       6.98    7.63     7.85    8.30
2635   7.02    0.46       6.98    7.63     7.85    8.30
2636   7.02    0.46       6.98    7.63     7.85    8.30
2637   7.02    0.46       6.98    7.64     7.85    8.30
2638   7.02    0.46       6.98    7.64     7.85    8.30
2639   7.02    0.46       6.98    7.64     7.85    8.30
2640   7.02    0.46       6.98    7.64     7.85    8.30
2641   7.02    0.46       6.98    7.64     7.85    8.30
2642   7.02    0.46       6.98    7.64     7.85    8.30
2643   7.02    0.46       6.98    7.64     7.85    8.30
2644   7.02    0.46       6.98    7.64     7.85    8.30
2645   7.02    0.46       6.98    7.64     7.85    8.30
2646   7.02    0.46       6.98    7.64     7.85    8.31
2647   7.02    0.46       6.98    7.64     7.86    8.31
2648   7.02    0.46       6.98    7.64     7.86    8.31
2649   7.02    0.46       6.98    7.64     7.86    8.31
2650   7.02    0.46       6.98    7.64     7.86    8.31
2651   7.02    0.46       6.98    7.64     7.86    8.31
2652   7.02    0.46       6.98    7.64     7.86    8.31
2653   7.02    0.46       6.98    7.64     7.86    8.31
2654   7.02    0.46       6.98    7.64     7.86    8.31
2655   7.02    0.46       6.98    7.64     7.86    8.31
2656   7.02    0.46       6.98    7.64     7.86    8.31
2657   7.02    0.46       6.98    7.64     7.86    8.31
2658   7.02    0.46       6.98    7.64     7.86    8.31
2659   7.02    0.46       6.98    7.64     7.86    8.31
2660   7.02    0.46       6.98    7.64     7.86    8.31
2661   7.02    0.46       6.98    7.64     7.86    8.31
2662   7.03    0.46       6.98    7.64     7.86    8.31
2663   7.03    0.46       6.98    7.64     7.86    8.31
2664   7.03    0.46       6.98    7.64     7.86    8.31
2665   7.03    0.46       6.98    7.64     7.86    8.31
2666   7.03    0.46       6.98    7.64     7.86    8.31
2667   7.03    0.46       6.98    7.64     7.86    8.31
2668   7.03    0.46       6.98    7.64     7.86    8.31
2669   7.03    0.46       6.98    7.64     7.86    8.31
2670   7.03    0.46       6.98    7.64     7.86    8.31
2671   7.03    0.46       6.98    7.64     7.86    8.31
2672   7.03    0.46       6.98    7.64     7.86    8.31
2673   7.03    0.46       6.98    7.64     7.86    8.31
2674   7.03    0.46       6.98    7.64     7.86    8.31
2675   7.03    0.46       6.98    7.64     7.86    8.31
2676   7.03    0.46       6.98    7.64     7.86    8.31
2677   7.03    0.46       6.98    7.64     7.86    8.31
2678   7.03    0.46       6.98    7.64     7.86    8.31
2679   7.03    0.46       6.98    7.64     7.86    8.31
2680   7.03    0.46       6.98    7.64     7.86    8.31
2681   7.03    0.46       6.98    7.64     7.86    8.31
2682   7.03    0.46       6.99    7.64     7.86    8.31
2683   7.03    0.46       6.99    7.64     7.86    8.31
2684   7.03    0.46       6.99    7.64     7.86    8.31
2685   7.03    0.46       6.99    7.64     7.86    8.31
2686   7.03    0.46       6.99    7.64     7.86    8.31
2687   7.03    0.46       6.99    7.64     7.86    8.31
2688   7.03    0.46       6.99    7.64     7.86    8.31
2689   7.03    0.46       6.99    7.64     7.86    8.31
2690   7.03    0.46       6.99    7.64     7.86    8.31
2691   7.03    0.46       6.99    7.64     7.86    8.31
2692   7.03    0.46       6.99    7.64     7.86    8.31
2693   7.03    0.46       6.99    7.65     7.86    8.31
2694   7.03    0.46       6.99    7.65     7.86    8.31
2695   7.03    0.46       6.99    7.65     7.86    8.31
2696   7.03    0.46       6.99    7.65     7.86    8.31
2697   7.03    0.46       6.99    7.65     7.86    8.31
2698   7.03    0.46       6.99    7.65     7.86    8.31
2699   7.03    0.46       6.99    7.65     7.86    8.31
2700   7.03    0.46       6.99    7.65     7.87    8.31
2701   7.03    0.46       6.99    7.65     7.87    8.32
2702   7.03    0.46       6.99    7.65     7.87    8.32
2703   7.03    0.46       6.99    7.65     7.87    8.32
2704   7.03    0.46       6.99    7.65     7.87    8.32
2705   7.03    0.46       6.99    7.65     7.87    8.32
2706   7.03    0.46       6.99    7.65     7.87    8.32
2707   7.03    0.46       6.99    7.65     7.87    8.32
2708   7.03    0.46       6.99    7.65     7.87    8.32
2709   7.03    0.46       6.99    7.65     7.87    8.32
2710   7.03    0.46       6.99    7.65     7.87    8.32
2711   7.03    0.46       6.99    7.65     7.87    8.32
2712   7.04    0.46       6.99    7.65     7.87    8.32
2713   7.04    0.46       6.99    7.65     7.87    8.32
2714   7.04    0.46       6.99    7.65     7.87    8.32
2715   7.04    0.46       6.99    7.65     7.87    8.32
2716   7.04    0.46       6.99    7.65     7.87    8.32
2717   7.04    0.46       6.99    7.65     7.87    8.32
2718   7.04    0.46       6.99    7.65     7.87    8.32
2719   7.04    0.46       6.99    7.65     7.87    8.32
2720   7.04    0.46       6.99    7.65     7.87    8.32
2721   7.04    0.46       6.99    7.65     7.87    8.32
2722   7.04    0.46       6.99    7.65     7.87    8.32
2723   7.04    0.46       6.99    7.65     7.87    8.32
2724   7.04    0.46       6.99    7.65     7.87    8.32
2725   7.04    0.46       6.99    7.65     7.87    8.32
2726   7.04    0.46       6.99    7.65     7.87    8.32
2727   7.04    0.46       6.99    7.65     7.87    8.32
2728   7.04    0.46       6.99    7.65     7.87    8.32
2729   7.04    0.46       6.99    7.65     7.87    8.32
2730   7.04    0.46       6.99    7.65     7.87    8.32
2731   7.04    0.46       6.99    7.65     7.87    8.32
2732   7.04    0.46       6.99    7.65     7.87    8.32
2733   7.04    0.46       7.00    7.65     7.87    8.32
2734   7.04    0.46       7.00    7.65     7.87    8.32
2735   7.04    0.46       7.00    7.65     7.87    8.32
2736   7.04    0.46       7.00    7.65     7.87    8.32
2737   7.04    0.46       7.00    7.65     7.87    8.32
2738   7.04    0.46       7.00    7.65     7.87    8.32
2739   7.04    0.46       7.00    7.65     7.87    8.32
2740   7.04    0.46       7.00    7.65     7.87    8.32
2741   7.04    0.46       7.00    7.65     7.87    8.32
2742   7.04    0.46       7.00    7.65     7.87    8.32
2743   7.04    0.46       7.00    7.65     7.87    8.32
2744   7.04    0.46       7.00    7.65     7.87    8.32
2745   7.04    0.46       7.00    7.65     7.87    8.32
2746   7.04    0.46       7.00    7.65     7.87    8.32
2747   7.04    0.46       7.00    7.65     7.87    8.32
2748   7.04    0.46       7.00    7.66     7.87    8.32
2749   7.04    0.46       7.00    7.66     7.87    8.32
2750   7.04    0.46       7.00    7.66     7.87    8.32
2751   7.04    0.46       7.00    7.66     7.87    8.32
2752   7.04    0.46       7.00    7.66     7.87    8.32
2753   7.04    0.46       7.00    7.66     7.87    8.32
2754   7.04    0.46       7.00    7.66     7.87    8.32
2755   7.04    0.46       7.00    7.66     7.87    8.32
2756   7.04    0.46       7.00    7.66     7.88    8.32
2757   7.04    0.46       7.00    7.66     7.88    8.32
2758   7.04    0.46       7.00    7.66     7.88    8.32
2759   7.04    0.46       7.00    7.66     7.88    8.33
2760   7.04    0.46       7.00    7.66     7.88    8.33
2761   7.04    0.46       7.00    7.66     7.88    8.33
2762   7.04    0.46       7.00    7.66     7.88    8.33
2763   7.04    0.46       7.00    7.66     7.88    8.33
2764   7.05    0.46       7.00    7.66     7.88    8.33
2765   7.05    0.46       7.00    7.66     7.88    8.33
2766   7.05    0.46       7.00    7.66     7.88    8.33
2767   7.05    0.46       7.00    7.66     7.88    8.33
2768   7.05    0.46       7.00    7.66     7.88    8.33
2769   7.05    0.46       7.00    7.66     7.88    8.33
2770   7.05    0.46       7.00    7.66     7.88    8.33
2771   7.05    0.46       7.00    7.66     7.88    8.33
2772   7.05    0.46       7.00    7.66     7.88    8.33
2773   7.05    0.46       7.00    7.66     7.88    8.33
2774   7.05    0.46       7.00    7.66     7.88    8.33
2775   7.05    0.46       7.00    7.66     7.88    8.33
2776   7.05    0.46       7.00    7.66     7.88    8.33
2777   7.05    0.46       7.00    7.66     7.88    8.33
2778   7.05    0.46       7.00    7.66     7.88    8.33
2779   7.05    0.46       7.00    7.66     7.88    8.33
2780   7.05    0.46       7.00    7.66     7.88    8.33
2781   7.05    0.46       7.00    7.66     7.88    8.33
2782   7.05    0.46       7.00    7.66     7.88    8.33
2783   7.05    0.46       7.00    7.66     7.88    8.33
2784   7.05    0.46       7.00    7.66     7.88    8.33
2785   7.05    0.46       7.01    7.66     7.88    8.33
2786   7.05    0.46       7.01    7.66     7.88    8.33
2787   7.05    0.46       7.01    7.66     7.88    8.33
2788   7.05    0.46       7.01    7.66     7.88    8.33
2789   7.05    0.46       7.01    7.66     7.88    8.33
2790   7.05    0.46       7.01    7.66     7.88    8.33
2791   7.05    0.46       7.01    7.66     7.88    8.33
2792   7.05    0.46       7.01    7.66     7.88    8.33
2793   7.05    0.46       7.01    7.66     7.88    8.33
2794   7.05    0.46       7.01    7.66     7.88    8.33
2795   7.05    0.46       7.01    7.66     7.88    8.33
2796   7.05    0.46       7.01    7.66     7.88    8.33
2797   7.05    0.46       7.01    7.66     7.88    8.33
2798   7.05    0.46       7.01    7.66     7.88    8.33
2799   7.05    0.46       7.01    7.66     7.88    8.33
2800   7.05    0.46       7.01    7.66     7.88    8.33
2801   7.05    0.46       7.01    7.66     7.88    8.33
2802   7.05    0.46       7.01    7.67     7.88    8.33
2803   7.05    0.46       7.01    7.67     7.88    8.33
2804   7.05    0.46       7.01    7.67     7.88    8.33
2805   7.05    0.46       7.01    7.67     7.88    8.33
2806   7.05    0.46       7.01    7.67     7.88    8.33
2807   7.05    0.46       7.01    7.67     7.88    8.33
2808   7.05    0.46       7.01    7.67     7.88    8.33
2809   7.05    0.46       7.01    7.67     7.88    8.33
2810   7.05    0.46       7.01    7.67     7.88    8.33
2811   7.05    0.46       7.01    7.67     7.88    8.33
2812   7.05    0.46       7.01    7.67     7.88    8.33
2813   7.05    0.46       7.01    7.67     7.88    8.33
2814   7.05    0.46       7.01    7.67     7.89    8.33
2815   7.05    0.46       7.01    7.67     7.89    8.33
2816   7.06    0.46       7.01    7.67     7.89    8.33
2817   7.06    0.46       7.01    7.67     7.89    8.33
2818   7.06    0.46       7.01    7.67     7.89    8.33
2819   7.06    0.46       7.01    7.67     7.89    8.33
2820   7.06    0.46       7.01    7.67     7.89    8.34
2821   7.06    0.46       7.01    7.67     7.89    8.34
2822   7.06    0.46       7.01    7.67     7.89    8.34
2823   7.06    0.46       7.01    7.67     7.89    8.34
2824   7.06    0.46       7.01    7.67     7.89    8.34
2825   7.06    0.46       7.01    7.67     7.89    8.34
2826   7.06    0.46       7.01    7.67     7.89    8.34
2827   7.06    0.46       7.01    7.67     7.89    8.34
2828   7.06    0.46       7.01    7.67     7.89    8.34
2829   7.06    0.46       7.01    7.67     7.89    8.34
2830   7.06    0.46       7.01    7.67     7.89    8.34
2831   7.06    0.46       7.01    7.67     7.89    8.34
2832   7.06    0.46       7.01    7.67     7.89    8.34
2833   7.06    0.46       7.01    7.67     7.89    8.34
2834   7.06    0.46       7.01    7.67     7.89    8.34
2835   7.06    0.46       7.01    7.67     7.89    8.34
2836   7.06    0.46       7.01    7.67     7.89    8.34
2837   7.06    0.46       7.02    7.67     7.89    8.34
2838   7.06    0.46       7.02    7.67     7.89    8.34
2839   7.06    0.46       7.02    7.67     7.89    8.34
2840   7.06    0.46       7.02    7.67     7.89    8.34
2841   7.06    0.46       7.02    7.67     7.89    8.34
2842   7.06    0.46       7.02    7.67     7.89    8.34
2843   7.06    0.46       7.02    7.67     7.89    8.34
2844   7.06    0.46       7.02    7.67     7.89    8.34
2845   7.06    0.46       7.02    7.67     7.89    8.34
2846   7.06    0.46       7.02    7.67     7.89    8.34
2847   7.06    0.46       7.02    7.67     7.89    8.34
2848   7.06    0.46       7.02    7.67     7.89    8.34
2849   7.06    0.46       7.02    7.67     7.89    8.34
2850   7.06    0.46       7.02    7.67     7.89    8.34
2851   7.06    0.46       7.02    7.67     7.89    8.34
2852   7.06    0.46       7.02    7.67     7.89    8.34
2853   7.06    0.46       7.02    7.67     7.89    8.34
2854   7.06    0.46       7.02    7.67     7.89    8.34
2855   7.06    0.46       7.02    7.67     7.89    8.34
2856   7.06    0.46       7.02    7.67     7.89    8.34
2857   7.06    0.46       7.02    7.67     7.89    8.34
2858   7.06    0.46       7.02    7.68     7.89    8.34
2859   7.06    0.46       7.02    7.68     7.89    8.34
2860   7.06    0.46       7.02    7.68     7.89    8.34
2861   7.06    0.46       7.02    7.68     7.89    8.34
2862   7.06    0.46       7.02    7.68     7.89    8.34
2863   7.06    0.46       7.02    7.68     7.89    8.34
2864   7.06    0.46       7.02    7.68     7.89    8.34
2865   7.06    0.46       7.02    7.68     7.89    8.34
2866   7.06    0.46       7.02    7.68     7.89    8.34
2867   7.06    0.46       7.02    7.68     7.89    8.34
2868   7.06    0.46       7.02    7.68     7.89    8.34
2869   7.07    0.46       7.02    7.68     7.89    8.34
2870   7.07    0.46       7.02    7.68     7.89    8.34
2871   7.07    0.46       7.02    7.68     7.89    8.34
2872   7.07    0.46       7.02    7.68     7.89    8.34
2873   7.07    0.46       7.02    7.68     7.89    8.34
2874   7.07    0.46       7.02    7.68     7.89    8.34
2875   7.07    0.46       7.02    7.68     7.89    8.34
2876   7.07    0.46       7.02    7.68     7.90    8.34
2877   7.07    0.46       7.02    7.68     7.90    8.34
2878   7.07    0.46       7.02    7.68     7.90    8.34
2879   7.07    0.46       7.02    7.68     7.90    8.34
2880   7.07    0.46       7.02    7.68     7.90    8.34
2881   7.07    0.46       7.02    7.68     7.90    8.34
2882   7.07    0.46       7.02    7.68     7.90    8.34
2883   7.07    0.46       7.02    7.68     7.90    8.34
2884   7.07    0.46       7.02    7.68     7.90    8.34
2885   7.07    0.46       7.02    7.68     7.90    8.34
2886   7.07    0.46       7.02    7.68     7.90    8.35
2887   7.07    0.46       7.02    7.68     7.90    8.35
2888   7.07    0.46       7.02    7.68     7.90    8.35
2889   7.07    0.46       7.02    7.68     7.90    8.35
2890   7.07    0.46       7.02    7.68     7.90    8.35
2891   7.07    0.46       7.03    7.68     7.90    8.35
2892   7.07    0.46       7.03    7.68     7.90    8.35
2893   7.07    0.46       7.03    7.68     7.90    8.35
2894   7.07    0.46       7.03    7.68     7.90    8.35
2895   7.07    0.46       7.03    7.68     7.90    8.35
2896   7.07    0.46       7.03    7.68     7.90    8.35
2897   7.07    0.46       7.03    7.68     7.90    8.35
2898   7.07    0.46       7.03    7.68     7.90    8.35
2899   7.07    0.46       7.03    7.68     7.90    8.35
2900   7.07    0.46       7.03    7.68     7.90    8.35
2901   7.07    0.46       7.03    7.68     7.90    8.35
2902   7.07    0.46       7.03    7.68     7.90    8.35
2903   7.07    0.46       7.03    7.68     7.90    8.35
2904   7.07    0.46       7.03    7.68     7.90    8.35
2905   7.07    0.46       7.03    7.68     7.90    8.35
2906   7.07    0.46       7.03    7.68     7.90    8.35
2907   7.07    0.46       7.03    7.68     7.90    8.35
2908   7.07    0.46       7.03    7.68     7.90    8.35
2909   7.07    0.46       7.03    7.68     7.90    8.35
2910   7.07    0.46       7.03    7.68     7.90    8.35
2911   7.07    0.46       7.03    7.68     7.90    8.35
2912   7.07    0.46       7.03    7.68     7.90    8.35
2913   7.07    0.46       7.03    7.68     7.90    8.35
2914   7.07    0.46       7.03    7.68     7.90    8.35
2915   7.07    0.46       7.03    7.68     7.90    8.35
2916   7.07    0.46       7.03    7.68     7.90    8.35
2917   7.07    0.46       7.03    7.68     7.90    8.35
2918   7.07    0.46       7.03    7.69     7.90    8.35
2919   7.07    0.46       7.03    7.69     7.90    8.35
2920   7.07    0.46       7.03    7.69     7.90    8.35
2921   7.07    0.46       7.03    7.69     7.90    8.35
2922   7.07    0.46       7.03    7.69     7.90    8.35
2923   7.07    0.46       7.03    7.69     7.90    8.35
2924   7.08    0.46       7.03    7.69     7.90    8.35
2925   7.08    0.46       7.03    7.69     7.90    8.35
2926   7.08    0.46       7.03    7.69     7.90    8.35
2927   7.08    0.46       7.03    7.69     7.90    8.35
2928   7.08    0.46       7.03    7.69     7.90    8.35
2929   7.08    0.46       7.03    7.69     7.90    8.35
2930   7.08    0.46       7.03    7.69     7.90    8.35
2931   7.08    0.46       7.03    7.69     7.90    8.35
2932   7.08    0.46       7.03    7.69     7.90    8.35
2933   7.08    0.46       7.03    7.69     7.90    8.35
2934   7.08    0.46       7.03    7.69     7.90    8.35
2935   7.08    0.46       7.03    7.69     7.90    8.35
2936   7.08    0.46       7.03    7.69     7.91    8.35
2937   7.08    0.46       7.03    7.69     7.91    8.35
