  n  E[WN]   sigma_WN     W50     W90      W95     W99
214   5.54    0.56       5.49    6.28     6.54    7.06
215   5.54    0.56       5.49    6.28     6.54    7.06
216   5.54    0.56       5.50    6.28     6.54    7.06
217   5.55    0.56       5.50    6.29     6.54    7.06
218   5.55    0.56       5.50    6.29     6.55    7.07
219   5.55    0.56       5.51    6.29     6.55    7.07
220   5.55    0.56       5.51    6.30     6.55    7.07
221   5.56    0.56       5.51    6.30     6.55    7.07
222   5.56    0.56       5.51    6.30     6.56    7.08
223   5.56    0.56       5.52    6.30     6.56    7.08
224   5.57    0.56       5.52    6.31     6.56    7.08
225   5.57    0.56       5.52    6.31     6.56    7.08
226   5.57    0.56       5.53    6.31     6.57    7.09
227   5.58    0.56       5.53    6.31     6.57    7.09
228   5.58    0.56       5.53    6.32     6.57    7.09
229   5.58    0.56       5.53    6.32     6.57    7.09
230   5.58    0.56       5.54    6.32     6.58    7.10
231   5.59    0.56       5.54    6.32     6.58    7.10
232   5.59    0.56       5.54    6.33     6.58    7.10
233   5.59    0.56       5.55    6.33     6.58    7.10
234   5.60    0.56       5.55    6.33     6.59    7.10
235   5.60    0.56       5.55    6.33     6.59    7.11
236   5.60    0.56       5.55    6.34     6.59    7.11
237   5.60    0.56       5.56    6.34     6.59    7.11
238   5.61    0.56       5.56    6.34     6.60    7.11
239   5.61    0.56       5.56    6.34     6.60    7.12
240   5.61    0.56       5.57    6.35     6.60    7.12
241   5.61    0.56       5.57    6.35     6.60    7.12
242   5.62    0.56       5.57    6.35     6.61    7.12
243   5.62    0.56       5.57    6.35     6.61    7.13
244   5.62    0.56       5.58    6.36     6.61    7.13
245   5.63    0.56       5.58    6.36     6.61    7.13
246   5.63    0.56       5.58    6.36     6.61    7.13
247   5.63    0.55       5.58    6.36     6.62    7.13
248   5.63    0.55       5.59    6.37     6.62    7.14
249   5.64    0.55       5.59    6.37     6.62    7.14
250   5.64    0.55       5.59    6.37     6.62    7.14
251   5.64    0.55       5.59    6.37     6.63    7.14
252   5.64    0.55       5.60    6.38     6.63    7.14
253   5.65    0.55       5.60    6.38     6.63    7.15
254   5.65    0.55       5.60    6.38     6.63    7.15
255   5.65    0.55       5.60    6.38     6.64    7.15
256   5.65    0.55       5.61    6.38     6.64    7.15
257   5.66    0.55       5.61    6.39     6.64    7.15
258   5.66    0.55       5.61    6.39     6.64    7.16
259   5.66    0.55       5.61    6.39     6.64    7.16
260   5.66    0.55       5.62    6.39     6.65    7.16
261   5.67    0.55       5.62    6.40     6.65    7.16
262   5.67    0.55       5.62    6.40     6.65    7.17
263   5.67    0.55       5.62    6.40     6.65    7.17
264   5.67    0.55       5.63    6.40     6.65    7.17
265   5.68    0.55       5.63    6.40     6.66    7.17
266   5.68    0.55       5.63    6.41     6.66    7.17
267   5.68    0.55       5.63    6.41     6.66    7.18
268   5.68    0.55       5.64    6.41     6.66    7.18
269   5.69    0.55       5.64    6.41     6.67    7.18
270   5.69    0.55       5.64    6.42     6.67    7.18
271   5.69    0.55       5.64    6.42     6.67    7.18
272   5.69    0.55       5.65    6.42     6.67    7.19
273   5.70    0.55       5.65    6.42     6.67    7.19
274   5.70    0.55       5.65    6.42     6.68    7.19
275   5.70    0.55       5.65    6.43     6.68    7.19
276   5.70    0.55       5.66    6.43     6.68    7.19
277   5.70    0.55       5.66    6.43     6.68    7.19
278   5.71    0.55       5.66    6.43     6.68    7.20
279   5.71    0.55       5.66    6.43     6.69    7.20
280   5.71    0.55       5.67    6.44     6.69    7.20
281   5.71    0.55       5.67    6.44     6.69    7.20
282   5.72    0.55       5.67    6.44     6.69    7.20
283   5.72    0.55       5.67    6.44     6.69    7.21
284   5.72    0.55       5.67    6.44     6.70    7.21
285   5.72    0.55       5.68    6.45     6.70    7.21
286   5.73    0.55       5.68    6.45     6.70    7.21
287   5.73    0.55       5.68    6.45     6.70    7.21
288   5.73    0.55       5.68    6.45     6.70    7.22
289   5.73    0.55       5.69    6.45     6.71    7.22
290   5.73    0.55       5.69    6.46     6.71    7.22
291   5.74    0.55       5.69    6.46     6.71    7.22
292   5.74    0.55       5.69    6.46     6.71    7.22
293   5.74    0.55       5.69    6.46     6.71    7.22
294   5.74    0.55       5.70    6.46     6.72    7.23
295   5.74    0.55       5.70    6.47     6.72    7.23
296   5.75    0.55       5.70    6.47     6.72    7.23
297   5.75    0.55       5.70    6.47     6.72    7.23
298   5.75    0.55       5.70    6.47     6.72    7.23
299   5.75    0.55       5.71    6.47     6.72    7.23
300   5.76    0.55       5.71    6.48     6.73    7.24
301   5.76    0.55       5.71    6.48     6.73    7.24
